sample	formation	log_height	Ag	Al	As	Ba	Be	Bi	Ca	Cd	Ce	Co	Cr	Cs	Cu	Dy	Er	Eu	Fe	Ga	Gd	Ge	Hf	Ho	In	K	La	Li	Lu	Mg	Mn	Mo	Na	Nb	Nd	Ni	P	Pb	Pr	Rb	Re	S	Sb	Sc	Se	Sm	Sn	Sr	Ta	Tb	Te	Th	Ti	Tl	Tm	U	V	W	Y	Yb	Zn	Zr
Lu 23-01	Kapp Starostin Fm.	-41.51		3.41	6.1	214	1	0.1	3.75		41	4	91	5.35	8	2.9	1.6	0.74	2.53	7.7	3.5	0.1	0.1	0.6		1.38	27	56	0.2	0.96	107	5	0.13	3.5	20.5	34	0.092	5	5.4	71.2	0.011	0.59	0.3	6	1.7	4.4	2	123	0.3	0.5		7.6	0.25	0.5	0.2	3.9	65	0.8	19.6	1.5	38	11
Lu 23-02	Kapp Starostin Fm.	-40.51		2.3	6.6	167	0.8	0.07	6.13		28.7	3	82	3.2	10	2.2	1.3	0.59	2.03	5.7	2.8		0.1	0.5		0.82	19	51	0.2	0.68	124	3	0.15	2.8	16	27	0.075	3	4.3	47.2	0.014	0.36	0.3	4	1.4	2.8	2	156		0.4		5.3	0.161	0.32	0.2	3.1	46	0.6	16.8	1.2	53	6
Lu 23-4.5	Kapp Starostin Fm.	-37.17		3.73	13.2	252	1.8	0.07	4.13		60.9	4	198	4.46	8	5.4	3.1	1.45	3.19	7	7.2			1.1		1.44	45.6	72	0.3	0.9	100	6	0.11	0.8	38.7	35	0.306	5	10.1	70	0.026	0.62	0.4	6	1.4	7.1		141		1		8.7	0.174	0.52	0.4	5.4	80	0.5	38.5	2.2	38	2
Long 2	Kapp Starostin Fm.	-36.87		3.35	12.2	217	1.5	0.04	3.83	0.3	56.8	3	157	3.89	7	5	2	1.25	3.18	4.5	5.7			0.8		1.18	34.8	76	0.2	1.26	89	5	0.12	3.6	33.6	31	0.292	5	9.4	57.4	0.018	0.59	0.3	1	1.8	7.4	1	131		0.8		7.4	0.183	0.44	0.3	4.4	76	0.5	34.8	1.6	30	4
Lu 23-4.9	Kapp Starostin Fm.	-36.61		2.76	7.9	181	1.6	0.05	7.04	0.4	42.5	3	153	3.08	10	4.1	2	1.11	2.63	4.9	5.1		0.2	0.8		1.08	34.8	59	0.2	0.79	197	5	0.11	0.5	27.9	23	0.265	3	7.2	53.9	0.015	0.32	0.2	5	1.7	5.6	2	152		0.7	0.1	5.9	0.125	0.32	0.3	3.2	62	0.3	28.2	1.5	48	14
Long 3	Kapp Starostin Fm.	-34.73	0.4	3.67	4.6	229	1.1	0.1	1.99	0.7	23.7	4	121	5.28	15	1.7	1	0.5	2.18	5.5	1.9		1.7	0.4		1.36	13.4	61	0.2	1.17	108	3	0.14	5.9	11.3	41	0.101	14	3.2	69.6	0.009	0.45	0.3	2	1.7	2	2	83.3	0.4	0.3		5.8	0.239	0.46	0.2	2.7	70	0.7	13.4	1.1	141	61
Lu 23-03	Kapp Starostin Fm.	-34.63		2.87	4.5	209	1	0.08	2.14		19.5	3	93	4.32	8	1.4	1	0.41	1.88	6.3	1.7		0.1	0.3		1.17	15.3	51	0.2	0.63	102	2	0.14	2.4	9.8	25	0.085	4	2.7	61.5	0.011	0.26	0.3	5	1.7	1.9	1	96.1		0.3		5.4	0.184	0.37	0.1	2.9	62	0.6	11	1	44	4
Long 4	Kapp Starostin Fm.	-33.76		2.59	4	166	0.8	0.07	3.07		23.5	3	64	3.62	7	2	1.1	0.53	1.8	4.8	2.3	0.1	0.2	0.4		0.92	12.2	58	0.1	0.7	98	4	0.14	3	13.9	26	0.075	4	3.5	51.3	0.009	0.39	0.2	2	1	2.5	2	99.2	0.2	0.3		4.2	0.171	0.29	0.1	2	47	0.5	12.2	0.9	48	10
Lu 23-04	Kapp Starostin Fm.	-33.58		2.67	4	229	0.9	0.08	3.67		25	3	89	3.72	12	2	1.2	0.52	2.05	6.2	2.5		0.3	0.4		1.05	16.2	57	0.2	0.84	126	3	0.15	3.4	13.3	27	0.069	4	3.7	53.5	0.007	0.35	0.3	5	1	2.5	1	107	0.1	0.3	0.2	4.4	0.172	0.32	0.2	2.2	53	0.7	13.6	1	42	11
Lu 23-05	Kapp Starostin Fm.	-32.58		2.69	3.6	275	0.9	0.08	3.81		25.9	3	73	3.78	12	1.9	1.1	0.55	1.82	5.5	2.2		0.2	0.4		1.07	15.7	57	0.2	0.9	135	3	0.13	3.2	13.3	31	0.055	4	3.7	53.3	0.011	0.27	0.3	5	0.9	2.3	2	102		0.3		4.7	0.18	0.33	0.2	2.4	54	0.7	12.3	1	46	10
