Sample ID	log_height	Tmax	S0	S1	S2	S3	PC	PI	S2/S3	S1/TOC	TOC	HI	OI
Long_2	-36.87	444	0.00	0.05	0.27	0.80	0.03	0.16	0.34	0.07	0.67	40	119
Long_3	-34.73	444	0.00	0.11	0.61	0.43	0.06	0.15	1.42	0.14	0.78	78	55
Long_4	-33.76	445	0.00	0.11	0.43	0.42	0.05	0.20	1.02	0.17	0.64	67	66
Long_14	0.51	440	0.02	0.59	1.04	0.38	0.14	0.36	2.74	0.62	0.95	109	40
Long_15	0.89	444	0.00	0.18	0.41	0.83	0.05	0.31	0.49	0.17	1.03	40	80
Long_16	1.15	437	0.00	0.02	0.10	0.66	0.01	0.17	0.15	0.07	0.28	35	234
Long_17	1.93	444	0.03	0.69	1.10	0.63	0.15	0.39	1.75	0.59	1.17	94	53
Long_18	2.71	446	0.00	0.70	2.78	0.31	0.30	0.20	8.97	0.40	1.73	161	17
Long_19	3.49	443	0.00	0.57	1.30	0.41	0.16	0.30	3.17	0.53	1.07	122	38
Long_20	4.23	443	0.01	0.97	3.04	0.48	0.34	0.24	6.33	0.67	1.45	209	32
Long_21	4.99	445	0.01	0.80	2.17	0.48	0.25	0.27	4.52	0.60	1.34	161	35
Long_22	5.75	443	0.00	1.00	3.33	0.48	0.37	0.23	6.94	0.58	1.73	192	27
Long_23	6.49	443	0.00	0.64	2.06	0.58	0.23	0.24	3.55	0.54	1.18	174	48
Long_24	7.27	443	0.00	0.23	0.78	0.37	0.09	0.23	2.11	0.28	0.82	94	44
Long_25	8.01	444	0.00	0.19	0.88	0.36	0.09	0.18	2.44	0.26	0.72	123	50
Long_26	8.77	441	0.00	0.04	0.13	0.48	0.01	0.24	0.27	0.09	0.45	28	106
Long_27	9.53	441	0.00	0.05	0.22	0.46	0.02	0.19	0.48	0.14	0.37	57	122
Long_31	13.61	441	0.00	0.03	0.22	0.49	0.02	0.12	0.45	0.08	0.39	55	124
Long_32	14.11	441	0.00	0.08	0.22	0.40	0.03	0.27	0.55	0.24	0.33	66	120
